"","X.1","X","Special","Organization.Name","Majors","CompSci","AllMajors","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","Seeking_Major","value"
"46",19,19,NA,"athenahealth, Inc.","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"47",20,20,NA,"Bazaarvoice","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"48",21,21,NA,"Bentley Systems","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"49",22,22,NA,"Blackbaud","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"50",23,23,NA,"Blizzard Entertainment","CS",TRUE,FALSE,FALSE,"BS, Cert, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"51",24,24,NA,"Bloomberg","Math, Physics, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"52",26,26,NA,"Bluebeam Software","CS, Math",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"53",28,28,NA,"Broadleaf Commerce","CS",TRUE,FALSE,FALSE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"54",30,30,NA,"Buoy, Inc.","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT","Yes","CS","CS"
"55",32,32,NA,"CA Technologies","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"56",33,33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"57",34,34,NA,"CAPSHER","CS, Math, Physics",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"58",35,35,NA,"CGG","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT","No","CS","CS"
"59",37,37,NA,"Chevron","Math, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"60",40,40,NA,"Citi","Stats, Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"61",41,41,NA,"Citrix","CS",TRUE,FALSE,FALSE,NA,"FT, Intern","No","CS","CS"
"62",43,43,NA,"Civitas Learning","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT","Yes","CS","CS"
"63",44,44,NA,"Clover Network","CS, Physics, Math, Stats, TXA",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"64",45,45,NA,"ConocoPhillips","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"65",46,46,NA,"Cox Automotive","Physics, Math, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"66",47,47,NA,"Cray","CS, Math",TRUE,FALSE,TRUE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"67",48,48,NA,"Credera","CS, Elements of Comp Cert.",TRUE,FALSE,FALSE,"BA","FT, Intern","Yes","CS","CS"
"68",49,49,NA,"CSC","CS",TRUE,FALSE,FALSE,"BA, MS","FT","No","CS","CS"
"69",50,50,NA,"CSX Corporation ","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"70",53,53,NA,"Dante Consulting","CS, Math",TRUE,FALSE,TRUE,"BA","FT","Yes","CS","CS"
"71",54,54,NA,"Dealertrack","CS",TRUE,FALSE,FALSE,"BS, MS","FT","No","CS","CS"
"72",55,55,NA,"Dell, Inc.","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"73",56,56,"Technology Start Up Village","Delphix","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","No","CS","CS"
"74",57,57,NA,"Denim Group","CS",TRUE,FALSE,FALSE,"BA","FT","Yes","CS","CS"
"75",59,59,NA,"DIRECTV","CS",TRUE,FALSE,FALSE,"BS","Intern","Yes","CS","CS"
"76",60,60,"Technology Start Up Village","DraftKings","CS",TRUE,FALSE,FALSE,NA,"FT, Intern","No","CS","CS"
"77",61,61,NA,"Elbit Systems of America","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"78",62,62,NA,"Emerson Electric","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"79",63,63,NA,"Enthought","Stats, Physics, Bio, Math, CS, Chem, Astronomy",TRUE,FALSE,TRUE,"MS, Ph.D.","FT, Intern","Yes","CS","CS"
"80",64,64,NA,"EOG Resources, Inc.","CS",TRUE,FALSE,FALSE,"BS","Intern","Yes","CS","CS"
"81",65,65,NA,"Epic","Math, Stats, Physics, CS, Chem, Bio, BioChem",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"82",68,68,NA,"Experian Health","CS",TRUE,FALSE,FALSE,"BS","FT","Yes","CS","CS"
"83",69,69,NA,"ExxonMobil Corporation","Chem (Ph.D.), CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"84",70,70,NA,"Facebook","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"85",71,71,NA,"FactSet Research Systems, Inc.","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
