"","X","Special","Organization.Name","Majors","CompSci","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","variable","value"
"237",22,NA,"Blackbaud","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"238",23,NA,"Blizzard Entertainment","CS",TRUE,FALSE,"BS, Cert, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"239",24,NA,"Bloomberg","Math, Physics, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"240",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"241",26,NA,"Bluebeam Software","CS, Math",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"242",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","CS","CS"
"243",28,NA,"Broadleaf Commerce","CS",TRUE,FALSE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"245",30,NA,"Buoy, Inc.","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","CS","CS"
"246",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"247",32,NA,"CA Technologies","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"248",33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"249",34,NA,"CAPSHER","CS, Math, Physics",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"250",35,NA,"CGG","Physics, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT","No","CS","CS"
"251",36,NA,"Charles Schwab & Co.","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"252",37,NA,"Chevron","Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"254",39,NA,"Citadel LLC","All Majors",FALSE,FALSE,NA,"FT, Intern","No","CS","CS"
"255",40,NA,"Citi","Stats, Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"256",41,NA,"Citrix","CS",TRUE,FALSE,NA,"FT, Intern","No","CS","CS"
"257",42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,FALSE,NA,"FT, Intern","No","CS","CS"
"258",43,NA,"Civitas Learning","Math, CS",TRUE,TRUE,"BS, MS","FT","Yes","CS","CS"
"259",44,NA,"Clover Network","CS, Physics, Math, Stats, TXA",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"260",45,NA,"ConocoPhillips","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"261",46,NA,"Cox Automotive","Physics, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"262",47,NA,"Cray","CS, Math",TRUE,TRUE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"263",48,NA,"Credera","CS, Elements of Comp Cert.",TRUE,FALSE,"BA","FT, Intern","Yes","CS","CS"
"264",49,NA,"CSC","CS",TRUE,FALSE,"BA, MS","FT","No","CS","CS"
"265",50,NA,"CSX Corporation ","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"267",52,NA,"Cvent","All Majors",FALSE,FALSE,"BS, MS","FT","No","CS","CS"
"268",53,NA,"Dante Consulting","CS, Math",TRUE,TRUE,"BA","FT","Yes","CS","CS"
"269",54,NA,"Dealertrack","CS",TRUE,FALSE,"BS, MS","FT","No","CS","CS"
"270",55,NA,"Dell, Inc.","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"271",56,"Technology Start Up Village","Delphix","CS",TRUE,FALSE,"BS","FT, Intern","No","CS","CS"
"272",57,NA,"Denim Group","CS",TRUE,FALSE,"BA","FT","Yes","CS","CS"
"273",58,NA,"Dimensional Fund Advisors","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"274",59,NA,"DIRECTV","CS",TRUE,FALSE,"BS","Intern","Yes","CS","CS"
"275",60,"Technology Start Up Village","DraftKings","CS",TRUE,FALSE,NA,"FT, Intern","No","CS","CS"
"276",61,NA,"Elbit Systems of America","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"277",62,NA,"Emerson Electric","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"278",63,NA,"Enthought","Stats, Physics, Bio, Math, CS, Chem, Astronomy",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","CS","CS"
"279",64,NA,"EOG Resources, Inc.","CS",TRUE,FALSE,"BS","Intern","Yes","CS","CS"
"280",65,NA,"Epic","Math, Stats, Physics, CS, Chem, Bio, BioChem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"283",68,NA,"Experian Health","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"284",69,NA,"ExxonMobil Corporation","Chem (Ph.D.), CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"285",70,NA,"Facebook","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"286",71,NA,"FactSet Research Systems, Inc.","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"287",72,NA,"Fidelity Investments","Stats, Math, CS",TRUE,TRUE,"BS","FT, Intern","No","CS","CS"
"288",73,NA,"Fitbit","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"289",74,"Actuarial Section","Florida Blue","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"290",75,NA,"Fluke Networks","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"291",76,NA,"Fujitsu Network Communications","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"292",77,NA,"Futurex","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"293",78,NA,"Gemalto","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"294",79,NA,"General Electric","CS, Math, Physics",TRUE,TRUE,NA,"FT","Yes","CS","CS"
"295",80,NA,"General Motors","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"296",81,NA,"GoDaddy","CS, Math",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"297",82,NA,"Golden Frog","Math, CS",TRUE,TRUE,"BS, Cert, MS","FT","Yes","CS","CS"
"298",83,NA,"Goldman Sachs","All Majors",FALSE,FALSE,"BS","Intern","No","CS","CS"
"299",84,NA,"Google, Inc","Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"300",85,"Technology Start Up Village","Graphiq","Astronomy, Bio, Biochem, Chem, CS, Math, Physics, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"301",86,NA,"Halliburton","Math, CS, Chem, BioChem",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","CS","CS"
"302",87,NA,"HBK Capital Management","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"303",88,"Actuarial Section","HCC Insurance Holdings","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"304",89,NA,"Headspring","CS",TRUE,FALSE,NA,"FT","Yes","CS","CS"
"305",90,NA,"Hewlett-Â­âPackard","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"306",91,NA,"HMS -Â­â (Health Management System)","All Majors",FALSE,FALSE,"BA","Intern","Yes","CS","CS"
"307",92,NA,"HomeAway","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"308",93,NA,"Honeywell","CS",TRUE,FALSE,"BS","Intern","Yes","CS","CS"
"309",94,NA,"Hudl","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"310",95,NA,"IBM","CS",TRUE,FALSE,"BS, MS","FT","Yes","CS","CS"
"311",96,NA,"Identropy, Inc.","All Majors",FALSE,FALSE,NA,"FT","No","CS","CS"
"312",97,NA,"Indeed","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"313",98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"314",99,NA,"innoWake","CS",TRUE,FALSE,"BA, MS, Ph.D.","FT","Yes","CS","CS"
"315",100,NA,"Intel Corporation","Stats, Physics, Math, CS, Chem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"316",101,NA,"Jet Propulsion Laboratory","CS, EnviroSci, HDFS, Math Physics, Stats",TRUE,TRUE,"BA, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"317",102,NA,"JPMorgan Chase & Co.","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"318",103,NA,"KPMG LLP","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT","No","CS","CS"
"319",104,NA,"L-Â­â3 Mission Integration","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"321",106,NA,"Liberty Mutual","CS, Math, Stats",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"322",107,NA,"Linkedin Corporation","CS",TRUE,FALSE,"BS","FT, Intern","No","CS","CS"
"323",108,NA,"Lithium Technologies","CS",TRUE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"324",109,NA,"Lockheed Martin","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"325",110,NA,"Macedon Technologies","CS",TRUE,FALSE,"BS","FT","No","CS","CS"
"326",111,NA,"Macy's, Inc.","Textiles and Apparel, Stats, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"327",112,NA,"Main Street Hub","Physics, Math, CS",TRUE,TRUE,"BS","FT","Yes","CS","CS"
"328",113,NA,"Mellanox Technologies","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","No","CS","CS"
"329",114,NA,"MaxPoint","CS, Math, Stats",TRUE,TRUE,NA,"FT, Intern","No","CS","CS"
"330",115,NA,"Meraki","Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"331",116,"Actuarial Section","Mercer","Stats, Public Health, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"332",117,NA,"METECS","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"333",118,NA,"Microsoft","Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"334",119,NA,"MIT Lincoln Laboratory","Physics, Math, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"335",120,NA,"National Instruments","Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"336",121,NA,"NCC Group","Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"337",122,NA,"NetSuite","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"338",123,NA,"O'Connor's","Stats, Math, CS",TRUE,TRUE,"BS","FT, Intern","No","CS","CS"
"339",124,NA,"o9 Solutions, Inc.","All Majors",FALSE,FALSE,NA,"FT, Intern","No","CS","CS"
"340",125,NA,"Offers.com","CS",TRUE,FALSE,"BA,Â Cert","FT","Yes","CS","CS"
"341",126,NA,"Oracle","Stats, Physics, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"342",127,NA,"Orbitz Worldwide","CS",TRUE,FALSE,"BS","FT","No","CS","CS"
"343",128,NA,"Palantir Technologies","Stats, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"344",129,NA,"Palo Alto Networks","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"345",130,NA,"Pariveda Solutions","Physics, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"346",131,NA,"PayPal","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"347",132,NA,"Peace Corps","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","CS","CS"
"348",133,NA,"Pearson","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"349",134,NA,"PepsiCo","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"350",135,NA,"Perficient","CS",TRUE,FALSE,"BS, MS","FT","No","CS","CS"
"351",136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,FALSE,NA,"FT","Yes","CS","CS"
"352",137,NA,"Pinterest, Inc.","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"353",138,"Technology Start Up Village","Praetorian","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"354",139,NA,"PricewaterhouseCoopers","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"356",141,NA,"Produce Pro Software","CS",TRUE,FALSE,"BS, MS","FT","Yes","CS","CS"
"357",142,NA,"PROS","CS, Math",TRUE,TRUE,"BA, MS, Ph.D.","FT","Yes","CS","CS"
"358",143,NA,"Pure Storage","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"359",144,NA,"Qualtrics","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"360",145,NA,"Quantlab Financial, LLC","Physics, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"361",146,NA,"Quora","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"362",147,NA,"Quorum Business Solutions","Stats, Physics, Math, CS, Chem",TRUE,TRUE,"BS, MS","FT","Yes","CS","CS"
"363",148,NA,"Rackspace","Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"364",149,NA,"Raytheon Company","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"365",150,NA,"Reddwerks","CS",TRUE,FALSE,"BS, MS","FT","No","CS","CS"
"366",151,"Technology Start Up Village","Redfin","Stats, CS",TRUE,TRUE,"BS","FT, Intern","No","CS","CS"
"367",152,NA,"RetailMeNot, Inc.","CS",TRUE,FALSE,"BS","FT, Intern","No","CS","CS"
"368",153,NA,"Rev.com","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"370",155,NA,"Rx Wiki","All Majors",FALSE,FALSE,NA,"FT","Yes","CS","CS"
"371",156,NA,"Salesforce","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"372",157,NA,"Sandia National Laboratories","Stats, Physics, Math, EnviroSci, CS, Chem, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"373",158,NA,"SAS Institute","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"374",159,NA,"Schlumberger","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"375",160,NA,"SnapStream Media Inc.","CS",TRUE,FALSE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"376",161,NA,"Sogeti","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"377",162,NA,"Southwestern Energy","CS, Physics, Math, Stats",TRUE,TRUE,NA,"Intern","Yes","CS","CS"
"379",164,"Technology Start Up Village","SpiceWorks","CS, Math",TRUE,TRUE,"BA","Intern","Yes","CS","CS"
"380",165,NA,"Splunk","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"381",166,NA,"Spredfast","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"382",167,NA,"State Farm Insurance Companies","CS, Math, Stats",TRUE,TRUE,"BA, MS","FT, Intern","Yes","CS","CS"
"383",168,"Technology Start Up Village","Steelwedge Software","CS",TRUE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"384",169,NA,"SunGard Global Services","CS",TRUE,FALSE,"BA, MS","FT","Yes","CS","CS"
"385",170,NA,"SunGard Financial Systems","Math, CS",TRUE,TRUE,"BS","FT","No","CS","CS"
"386",171,NA,"Tableau Software","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"387",172,NA,"Target Corporation","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"388",173,NA,"TechemetÂ MetalÂ Trading","CS,Â Math",TRUE,TRUE,"BA,Â MS","FT","No","CS","CS"
"389",174,NA,"Telogis","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"390",175,NA,"Teradata","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"391",176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,FALSE,"BA, MS","Intern","Yes","CS","CS"
"392",177,NA,"Texas Instruments","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"393",178,NA,"Texas Water Development Board","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"394",179,NA,"Textron","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"396",181,NA,"The Dow Chemical Company","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"397",182,NA,"Thomson Reuters","Math, Stats, CS, Physics",TRUE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"398",183,NA,"Thoughtworks","CS",TRUE,FALSE,NA,"FT","No","CS","CS"
"399",184,NA,"TIBCO Software Inc.","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","No","CS","CS"
"400",185,NA,"Tinker Air Force Base Civilian Employment","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","CS","CS"
"402",187,NA,"TripAdvisor","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"403",188,NA,"Turnitin","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","CS","CS"
"404",189,NA,"Twitter","Stats, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"405",190,"Technology Start Up Village","Umbel","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","CS","CS"
"406",191,NA,"UnboundID","CS",TRUE,FALSE,"BS","Intern","Yes","CS","CS"
"407",192,NA,"Under Armour","Textiles and Apparel, Physics, Math, CS",TRUE,TRUE,"BS","Intern","No","CS","CS"
"408",193,NA,"Union Pacific Railroad","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"409",194,NA,"UnitedHealth Group","CS",TRUE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"410",195,NA,"US Army Aviation and Missile Research, Development, and Engineering Center","Chem, CS, Math, Physics, Stats",TRUE,TRUE,NA,"FT","Yes","CS","CS"
"411",196,NA,"US Marine Corps Officer Selection Team Austin, TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"412",197,NA,"US Navy","All Majors",FALSE,FALSE,"BA","FT","Yes","CS","CS"
"413",198,"Actuarial Section","USAA","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"414",199,NA,"uShip","CS, Physics, Math, Stats",TRUE,TRUE,NA,"Intern","No","CS","CS"
"415",200,NA,"UT Health School of Biomedical Informatics at Hou","All Majors",FALSE,FALSE,"BA","FT","No","CS","CS"
"417",202,NA,"Vectra Networks","CS",TRUE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","CS","CS"
"418",203,NA,"Verizon","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","CS","CS"
"419",204,NA,"Visa","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"420",205,NA,"VML","CS, Physics, Math, Stats, TXA",TRUE,TRUE,NA,"FT, Intern","No","CS","CS"
